Process,Efficiency,Eff. with anomaly tagging,Total Processed,Preselected,Anomaly tagged
XToYH_HTo2BYTo2T_Hadronic_MX-1400_MY-400,0.094,0.081,5001,468,403
XToYH_HTo2BYTo2Up_MX-1400_MY-200,0.344,0.250,4000,1376,1000
XToYH_HTo2BYTo2T_Hadronic_MX-1600_MY-400,0.364,0.337,2000,728,673
XToYH_HTo2BYTo2Up_MX-1600_MY-200,0.444,0.313,2000,888,626
XToYH_HTo2BYTo2T_Hadronic_MX-1800_MY-400,0.448,0.409,1000,448,409
XToYH_HTo2BYTo2Up_MX-1800_MY-200,0.448,0.310,5001,2239,1551
XToYH_HTo2BYTo2T_Hadronic_MX-2000_MY-400,0.455,0.424,5001,2275,2121
XToYH_HTo2BYTo2Up_MX-2000_MY-200,0.428,0.299,2000,856,598
XToYH_HTo2BYTo2T_Hadronic_MX-2200_MY-400,0.443,0.412,5001,2214,2059
XToYH_HTo2BYTo2Up_MX-2200_MY-200,0.443,0.308,5001,2217,1538
XToYH_HTo2BYTo2T_Hadronic_MX-2600_MY-400,0.445,0.417,5001,2225,2087
XToYH_HTo2BYTo2Up_MX-2600_MY-200,0.423,0.293,2000,847,586
XToYH_HTo2BYTo2T_Hadronic_MX-3000_MY-400,0.436,0.414,3000,1307,1242
XToYH_HTo2BYTo2Up_MX-3000_MY-200,0.420,0.294,3000,1259,883
TPrime_MX-1400_MY-125,0.304,0.252,3000,911,755
TPrime_MX-1600_MY-125,0.416,0.343,2000,832,685
TPrime_MX-1800_MY-125,0.421,0.356,2000,842,712
TPrime_MX-2000_MY-125,0.447,0.369,4000,1786,1478
TPrime_MX-2400_MY-125,0.459,0.379,3000,1377,1136
TPrime_MX-3000_MY-125,0.431,0.358,1000,431,358
MX1400_MY90,0.365,0.303,5000,1826,1516
MX1400_MY125,0.379,0.330,5001,1894,1648
MX1400_MY190,0.396,0.358,1000,396,358
MX1400_MY250,0.311,0.286,2000,622,572
MX1400_MY300,0.203,0.177,5001,1013,886
MX1400_MY400,0.066,0.052,5000,330,258
MX1600_MY90,0.432,0.356,5001,2162,1782
MX1600_MY125,0.446,0.393,5001,2232,1965
MX1600_MY190,0.430,0.396,5000,2150,1979
MX1600_MY250,0.436,0.390,1000,436,390
MX1600_MY300,0.414,0.371,5001,2071,1855
MX1600_MY400,0.276,0.223,5001,1379,1116
MX1800_MY90,0.444,0.374,5001,2222,1869
MX1800_MY125,0.434,0.368,5001,2170,1841
MX1800_MY190,0.449,0.413,5001,2243,2066
MX1800_MY250,0.454,0.408,5001,2270,2042
MX1800_MY300,0.459,0.422,1000,459,422
MX1800_MY400,0.397,0.338,5001,1985,1692
MX2000_MY90,0.417,0.353,999,417,353
MX2000_MY125,0.451,0.388,5001,2255,1939
MX2000_MY190,0.437,0.404,5001,2186,2021
MX2000_MY250,0.455,0.410,5001,2274,2050
MX2000_MY300,0.452,0.386,1000,452,386
MX2000_MY400,0.435,0.375,5001,2176,1876
MX2200_MY90,0.453,0.362,5001,2264,1808
MX2200_MY125,0.443,0.374,5001,2216,1872
MX2200_MY190,0.443,0.410,5000,2214,2049
MX2200_MY250,0.450,0.404,5001,2251,2022
MX2200_MY300,0.443,0.403,5001,2216,2013
MX2200_MY400,0.453,0.402,5001,2267,2009
MX2600_MY90,0.435,0.342,5001,2174,1711
MX2600_MY125,0.428,0.357,5001,2141,1783
MX2600_MY190,0.433,0.400,5000,2163,2000
MX2600_MY250,0.432,0.394,5000,2158,1972
MX2600_MY300,0.439,0.403,5001,2194,2017
MX2600_MY400,0.442,0.401,5001,2209,2005
MX3000_MY90,0.421,0.310,5001,2103,1551
MX3000_MY125,0.432,0.362,3995,1725,1445
MX3000_MY190,0.420,0.393,2000,840,786
MX3000_MY250,0.410,0.381,1000,410,381
MX3000_MY300,0.424,0.384,5001,2120,1921
MX3000_MY400,0.425,0.384,5001,2124,1920
